original id,AbdomenAtlas_id
autoPET_PETCT_404f8c732f,BDMAP_00000001
TCIA-Pancreas-CT_PANCREAS_0039,BDMAP_00000002
TotalSegmentator_s0543,BDMAP_00000003
MSD-Colon_colon_195,BDMAP_00000004
TCIAColon_TCIAColon_0256_0_1,BDMAP_00000005
autoPET_PETCT_63464433c8,BDMAP_00000006
MSD-HepaticVessel_hepaticvessel_447,BDMAP_00000007
KiTS19-21_prediction_00280,BDMAP_00000008
WORD_word_0086,BDMAP_00000009
autoPET_PETCT_f637b5930b,BDMAP_00000010
autoPET_PETCT_49479d6e64,BDMAP_00000011
TCIAColon_TCIAColon_0300_0_1,BDMAP_00000012
MSD-HepaticVessel_hepaticvessel_200,BDMAP_00000013
TotalSegmentator_s0904,BDMAP_00000014
MSD-HepaticVessel_hepaticvessel_406,BDMAP_00000015
TCIA-LDCT_LDCT-L277_0_1,BDMAP_00000016
FLARE23Val_FLARE23_Ts_0084_0000,BDMAP_00000017
TotalSegmentator_s1089,BDMAP_00000018
TCIAColon_TCIAColon_0233_0_4,BDMAP_00000019
BTCV_img0034,BDMAP_00000020
TotalSegmentator_s0369,BDMAP_00000021
TCIAColon_TCIAColon_0249_0_2,BDMAP_00000022
KiTS21_img0228,BDMAP_00000023
MSD-Pancreas_pancreas_476,BDMAP_00000024
MSD-Hepatic_hepaticvessel_343,BDMAP_00000025
NIH-Lymph_NIH-LYMPH-ABD-041_0_0,BDMAP_00000026
MSD-Colon_colon_188,BDMAP_00000027
AbdomenCT-1K_Case_01035_0000,BDMAP_00000028
MSD-Hepatic_hepaticvessel_334,BDMAP_00000029
MSD-Colon_colon_139,BDMAP_00000030
autoPET_PETCT_b53ba7c6bf,BDMAP_00000031
autoPET_PETCT_5d553bf6b4,BDMAP_00000032
autoPET_PETCT_ba81e4b04b,BDMAP_00000033
KiTS21_img0268,BDMAP_00000034
Decathlon_hepaticvessel_325,BDMAP_00000035
KiTS23_case_00401,BDMAP_00000036
MSD-Hepatic_hepaticvessel_036,BDMAP_00000037
Decathlon_hepaticvessel_199,BDMAP_00000038
KiTS21_img0066,BDMAP_00000039
TCIAColon_TCIAColon_0262_0_3,BDMAP_00000040
autoPET_PETCT_f5c2c09846,BDMAP_00000041
TotalSegmentator_s0250,BDMAP_00000042
KiTS21_img0298,BDMAP_00000043
