model,params,input,mode,overall,recog,meas,visr,medr,source
Qwen3-VL-4B FF,4B,2D,direct,63.4,71.0,58.7,61.1,65.1,paper free-form table (LoRA on 50K open-ended)
Meissa-4B FF,4B,2D,direct,61.3,70.1,59.8,61.5,53.0,paper free-form table (LoRA on 50K open-ended)
RadFM FT,14B,3D vol,direct,50.5,67.2,55.6,56.0,15.5,paper free-form table
Gemini-3-Flash,API,2D,direct,36.4,43.5,58.7,33.4,11.5,paper free-form table
Qwen3-VL-4B,4B,2D,direct,34.6,59.4,44.6,27.3,13.5,paper free-form table
Qwen3-VL-4B (video),4B,Video,direct,33.3,57.3,40.9,27.2,12.8,paper free-form table
Qwen3.5-35B-A3B,35B(3B MoE),2D,direct,32.7,54.2,47.3,24.5,11.7,paper free-form table
Qwen3-VL-8B,8B,2D,direct,32.6,55.2,44.2,25.3,11.8,paper free-form table
Qwen3-VL-8B (video),8B,Video,direct,32.6,57.2,42.3,25.5,11.2,paper free-form table
M3D-Llama2 FT,7B,3D vol,direct,32.4,53.4,25.1,35.7,11.1,paper free-form table
Qwen3.5-9B,9B,2D,direct,30.8,58.0,35.0,24.5,10.8,paper free-form table
LLaVA-OneVision 7B,7B,2D,direct,29.6,56.4,35.0,22.6,10.2,paper free-form table
InternVL3-8B,8B,2D,direct,29.5,56.0,32.3,23.8,10.3,paper free-form table
Meissa-4B (video),4B,Video,direct,29.2,45.4,37.9,24.6,12.7,paper free-form table
HuatuoGPT-Qwen2.5VL,7B,2D,direct,29.2,57.5,23.8,26.3,10.9,paper free-form table
MedGemma 4B (2D),4B,2D,direct,28.6,52.0,37.9,22.2,7.6,paper free-form table
M3D-Phi3 FT,4B,3D vol,direct,27.1,60.8,20.5,21.3,10.7,paper free-form table
Meissa-4B,4B,2D,direct,25.6,43.4,28.8,23.5,7.8,paper free-form table
MedGemma 4B (3D),4B,2D 85-slice,direct,25.4,47.6,29.4,20.1,8.4,paper free-form table
LLaVA-Med 7B,7B,2D,direct,24.6,53.6,38.4,12.1,5.6,paper free-form table
Merlin FT,7B,3D vol,direct,24.5,0.0,49.7,35.7,0.0,paper free-form table (degenerate on Recog/MedR)
M3D-Phi3 pretrained,4B,3D vol,direct,21.7,57.2,15.8,14.7,5.1,paper free-form table
M3D-Llama2 pretrained,7B,3D vol,direct,6.8,10.4,6.7,7.0,2.5,paper free-form table
RadFM pretrained,14B,3D vol,direct,6.2,0.1,13.5,8.3,0.6,paper free-form table
